brand,catNo,spec,rawName,quantity,limitPrice,recommendedSite,recommendedPrice,url
Beyotime,ST850-50ml,50ml,ProClean 150,1,200,beyotime,141,https://m.beyotime.com/mobilegoods.do?method=code&code=ST850-50ml
MCE,HY-138630,1 mg,AG-270,1,1500,,,
